2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_cc_info, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_channel_info, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshMain.go:21 | 数据库全量数据同步任务已全部完成
2020-04-08 11:49:04 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 11:49:04 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 11:49:04 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 11:49:04 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 11:49:04 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：5, 任务超时时间：3E+01秒
2020-04-08 13:46:38 [INF] conf.go:91 | 配置文件加载成功！
2020-04-08 13:46:38 [INF] syncMap.go:93 | 缓存数据同步规则加载成功！
2020-04-08 13:46:38 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-08 13:46:38 [INF] redisPool.go:25 | Redis连接成功！
2020-04-08 13:46:38 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：5, 任务超时时间：3E+01秒
